Event_Id,Investigation_Type,Event_Date,Location,Country,Airport_Name,Injury_Severity,Aircraft_Damage,Make,Model,Amateur_Built,Number_Of_Engines,Engine_Type,Purpose_Of_Flight,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_Phase_Of_Flight,Year,Month,Day_Of_Week,Manufacturer_Incident_Count,Model_Incident_Count,Flight_Purpose_Incident_Count,Weather_Incident_Count
20001218X45444,Accident,1948-10-24,"MOOSE CREEK, ID",United States,BLACKBURN AG STRIP,Fatal(2),Destroyed,Stinson,108-3,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,UNK,Cruise,1948,10,Sunday,348,100,49394,854
20001218X45447,Accident,1962-07-19,"BRIDGEPORT, CA",United States,BLACKBURN AG STRIP,Fatal(4),Destroyed,Piper,PA24-180,No,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,UNK,Unknown,1962,7,Thursday,12020,4,49394,854
20061025X01555,Accident,1974-08-30,"Saltville, VA",United States,BLACKBURN AG STRIP,Fatal(3),Destroyed,Cessna,172M,No,1.0,Reciprocating,Personal,3.0,1.0,1.0,5.0,IMC,Cruise,1974,8,Friday,22208,798,49394,5962
20001218X45448,Accident,1977-06-19,"EUREKA, CA",United States,BLACKBURN AG STRIP,Fatal(2),Destroyed,Rockwell,112,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Cruise,1977,6,Sunday,330,32,49394,5962
20041105X01764,Accident,1979-08-02,"Canton, OH",United States,BLACKBURN AG STRIP,Fatal(1),Destroyed,Cessna,501,No,1.0,Unknown,Personal,1.0,2.0,1.0,0.0,VMC,Approach,1979,8,Thursday,22208,31,49394,81600
20170710X52551,Accident,1979-09-17,"BOSTON, MA",United States,BLACKBURN AG STRIP,Non-Fatal,Substantial,Mcdonnell Douglas,DC9,No,2.0,Turbo Fan,Unknown,1.0,1.0,1.0,44.0,VMC,Climb,1979,9,Monday,520,4,12856,81600
20001218X45446,Accident,1981-08-01,"COTTON, MN",United States,BLACKBURN AG STRIP,Fatal(4),Destroyed,Cessna,180,No,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,IMC,Unknown,1981,8,Saturday,22208,622,49394,5962
20020909X01562,Accident,1982-01-01,"PULLMAN, WA",United States,BLACKBURN AG STRIP,Non-Fatal,Substantial,Cessna,140,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,1982,1,Friday,22208,402,49394,81600
20020909X01561,Accident,1982-01-01,"EAST HANOVER, NJ",United States,HANOVER,Non-Fatal,Substantial,Cessna,401B,No,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,IMC,Landing,1982,1,Friday,22208,10,4014,5962
20020909X01560,Accident,1982-01-01,"JACKSONVILLE, FL",United States,JACKSONVILLE INTL,Non-Fatal,Substantial,North American,NAVION L-17B,No,1.0,Reciprocating,Personal,0.0,0.0,3.0,0.0,IMC,Cruise,1982,1,Friday,304,2,49394,5962
